Hisse,Değişim (%),Piyasa Değeri (mn $),Sektör,Son Kapanış,Önceki Kapanış
TKFEN,-2.2366565418477227,833.2436821333333,Hammadde,67.75,69.30000305175781
TKNSA,-1.6628822446452232,174.33400319999998,Tüketim,26.020000457763672,26.459999084472656
TOASO,1.2487512677866455,3378.3332864,Tüketim,202.6999969482422,200.1999969482422
TRGYO,-1.342283302891343,1714.9999786666667,Gayrimenkul,51.45000076293945,52.150001525878906
TSPOR,-3.8461503192516595,250.00000853333333,İletişim,1.0,1.0399999618530273
TUKAS,-3.5353561503925115,286.4999765333334,Temel Tüketim,1.909999966621399,1.9800000190734863
TRCAS,-3.5987768141480867,207.440384,Kamu Hizmetleri,25.18000030517578,26.1200008392334
TUREX,-2.503215069885351,546.8399616,Sanayi,151.89999389648438,155.8000030517578
TCELL,-1.2172312870888218,7673.7533269333335,İletişim,105.5,106.80000305175781
TMSN,-2.7777764484826153,415.91668053333336,Sanayi,108.5,111.5999984741211
TUPRS,-1.6444780926441522,8066.869384533334,Enerji,125.5999984741211,127.69999694824219
THYAO,-2.058590657165479,14176.0200704,Sanayi,309.25,315.75
TTKOM,-3.8264347380924457,5688.666248533334,İletişim,48.7599983215332,50.70000076293945
TTRAK,-0.9160305343511451,2164.7828309333336,Sanayi,649.0,655.0
GARAN,-2.140675066077671,17920.0,Finans,128.0,130.8000030517578
HALKB,-2.027023878835379,4514.436710399999,Finans,18.850000381469727,19.239999771118164
ISCTR,-2.4291475309744675,12533.301248,Finans,14.460000038146973,14.819999694824219
TSKB,-2.444989238325923,1117.2000426666668,Finans,11.970000267028809,12.270000457763672
TURSG,-1.7684047983362439,2869.9997525333333,Finans,17.219999313354492,17.530000686645508
SISE,-1.3150672390036386,3677.8942464,Sanayi,36.02000045776367,36.5
VAKBN,-2.654177528887732,8243.435383466665,Finans,24.940000534057617,25.6200008392334
ULKER,-3.9182269287339824,1388.4777813333333,Temel Tüketim,112.80000305175781,117.4000015258789
VAKFN,-2.5380746598692765,224.0,Sanayi,1.9199999570846558,1.9700000286102295
VAKKO,0.27284712130362093,392.0,Tüketim,73.5,73.30000305175781
VERUS,-4.57089552238806,596.7499946666667,Hammadde,255.75,268.0
VESBE,-1.8361598282739655,741.3333333333334,Tüketim,13.899999618530273,14.15999984741211
VESTL,-2.9661016949152543,640.1618602666666,Tüketim,57.25,59.0
YKBNK,-1.125966551601599,7912.070621866666,Finans,28.100000381469727,28.420000076293945
YYLGD,-2.5302584383913813,321.02140586666667,Temel Tüketim,8.859999656677246,9.09000015258789
YEOTK,-0.98328419863073,595.8083242666667,Sanayi,50.349998474121094,50.849998474121094
YIGIT,-3.4410096839467013,275.4583381333333,Sanayi,27.5,28.479999542236328
ZRGYO,1.0962259703984605,2597.136520533333,Gayrimenkul,16.600000381469727,16.420000076293945
ZOREN,-2.5906711748779943,626.6666325333333,Kamu Hizmetleri,3.759999990463257,3.859999895095825
