Hisse,Değişim (%),Piyasa Değeri (mn $),Sektör,Son Kapanış,Önceki Kapanış
ESEN,3.3333333333333335,268.6666752,Kamu Hizmetleri,31.0,30.0
EYGYO,9.649124182932722,58.333333333333336,Gayrimenkul,2.5,2.2799999713897705
FADE,-1.794022952437506,41.33227093333333,Temel Tüketim,14.779999732971191,15.050000190734863
FMIZP,-1.2302284710017575,133.7260288,Sanayi,281.0,284.5
FLAP,0.3464172459559143,27.156249600000002,Tüketim,8.6899995803833,8.65999984741211
FONET,-3.9402168015254126,67.872,Sağlık,14.140000343322754,14.720000267028809
FORMT,4.008440219304863,84.51383466666667,Tüketim,4.929999828338623,4.739999771118164
FORTE,-3.642675166063395,124.06166186666665,Teknoloji,55.54999923706055,57.650001525878906
FRIGO,-1.8939405798291624,38.0994176,Temel Tüketim,7.769999980926514,7.920000076293945
FZLGY,-1.3003888672104016,321.81599573333335,Gayrimenkul,30.360000610351562,30.760000228881836
GARFA,-1.8640359476662847,237.17498880000002,Finans,17.899999618530273,18.239999771118164
GEDIK,-1.7492763857245524,224.66665813333333,Finans,6.739999771118164,6.860000133514404
GEDZA,-1.8732791169910927,55.396224,Hammadde,35.619998931884766,36.29999923706055
GLCVY,-2.972850727816655,209.73627733333333,Finans,45.040000915527344,46.41999816894531
GENTS,-2.9163478298419556,126.4999936,Tüketim,12.649999618530273,13.029999732971191
GEREL,6.134255924894618,73.36,Sanayi,9.170000076293945,8.640000343322754
GZNMI,-1.4357501480146322,148.74166613333333,Tüketim,68.6500015258789,69.6500015258789
GIPTA,2.6365377892830133,239.79999573333333,Tüketim,54.5,53.099998474121094
GMTAS,-3.2673258538831256,48.58946986666667,Diğer,9.770000457763672,10.100000381469727
GOODY,-2.437502145767212,140.49000106666665,Tüketim,15.609999656677246,16.0
GSDDE,-1.972158683885172,42.25000106666667,Sanayi,8.449999809265137,8.619999885559082
GSDHO,-1.1396000558891188,104.10000213333333,Sanayi,3.4700000286102295,3.509999990463257
GLRYH,-2.5270734196678286,54.0,Finans,2.700000047683716,2.7699999809265137
GUNDG,-2.5341116109050374,65.0,Diğer,50.0,51.29999923706055
HATSN,-0.9847309741499315,296.95767893333334,Sanayi,40.220001220703125,40.619998931884766
HDFGS,-5.1282062254635195,34.841666133333334,Finans,1.850000023841858,1.9500000476837158
HEDEF,-6.632658770957114,343.124992,Finans,5.489999771118164,5.880000114440918
HKTM,-3.6204797803191626,54.04,Sanayi,15.4399995803833,16.020000457763672
HOROZ,-2.0331301853885377,196.20836693333334,Sanayi,65.05000305175781,66.4000015258789
HUNER,-2.4096363046584477,108.0,Kamu Hizmetleri,3.240000009536743,3.319999933242798
HURGZ,0.653588931893112,91.168,İletişim,4.619999885559082,4.590000152587891
ICBCT,-2.4883336187187735,359.4800128,Finans,12.539999961853027,12.859999656677246
ICUGS,-9.950251175753518,67.09066666666666,Finans,28.959999084472656,32.15999984741211
INGRM,-2.9879211697393515,305.19999146666663,Teknoloji,381.5,393.25
ISKPL,-7.96150326435284,149.3264896,Sanayi,21.040000915527344,22.860000610351562
IHLGM,-0.5208328482694815,63.666666666666664,Gayrimenkul,1.909999966621399,1.9199999570846558
IHGZT,-2.0548006722750554,38.13333333333333,İletişim,1.4299999475479126,1.4600000381469727
IHAAS,-1.2418981455257536,99.37567573333334,İletişim,18.290000915527344,18.520000457763672
IHLAS,5.338081794373899,134.68888746666667,Sanayi,2.9600000381469727,2.809999942779541
IHYAY,-2.545452117919922,40.2,İletişim,2.680000066757202,2.75
